date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:37	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2262ed60a9-247b%22	https://www.vincentsitzmann.com/robots.txt		(from )
10:06:37	30586/30586	---M-Z	200	added ('OK')	text/html	etag:W/%2262dfcdf1-777a%22	https://www.vincentsitzmann.com/	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/index.html	(from )
10:06:38	144877/144877	---M-Z	200	added ('OK')	text/css	etag:W/%2262dfcdf0-235ed%22	https://www.vincentsitzmann.com/css/bootstrap.min.css	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/css/bootstrap.min.css	(from https://www.vincentsitzmann.com/)
10:06:38	1226162/1226162	---M--	200	added ('OK')	image/jpeg	etag:%2262dfcdf1-12b5b2%22	https://www.vincentsitzmann.com/imgs/portrait.jpeg	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/portrait.jpg	(from https://www.vincentsitzmann.com/)
10:06:38	159670/159670	---M--	200	added ('OK')	application/pdf	etag:%2262dfcdf1-26fb6%22	https://www.vincentsitzmann.com/docs/cv_vincent_sitzmann_web.pdf	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/docs/cv_vincent_sitzmann_web.pdf	(from https://www.vincentsitzmann.com/)
10:06:39	4610210/4610210	---M--	200	added ('OK')	video/mp4	etag:%2262dfcdf1-4658a2%22	https://www.vincentsitzmann.com/siren/img/poisson_convergence_15s_label.mp4	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/siren/img/poisson_convergence_15s_label.mp4	(from https://www.vincentsitzmann.com/)
10:06:40	1905046/1905046	---M--	200	added ('OK')	video/mp4	etag:%2262dfcdf1-1d1196%22	https://www.vincentsitzmann.com/metasdf/img/metasdf_steps_comp.mp4	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/metasdf/img/metasdf_steps_comp.mp4	(from https://www.vincentsitzmann.com/)
10:06:40	444047/444047	---M--	200	added ('OK')	image/png	etag:%2262dfcdf1-6c68f%22	https://www.vincentsitzmann.com/imgs/star_img.png	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/star_img.png	(from https://www.vincentsitzmann.com/)
10:06:40	85127/85127	---M--	200	added ('OK')	image/jpeg	etag:%2262dfcdf1-14c87%22	https://www.vincentsitzmann.com/imgs/srn_seg_repimage.jpg	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/srn_seg_repimage.jpg	(from https://www.vincentsitzmann.com/)
10:06:41	156981/156981	---M--	200	added ('OK')	image/png	etag:%2262dfcdf1-26535%22	https://www.vincentsitzmann.com/imgs/deepvoxels.png	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/deepvoxels.png	(from https://www.vincentsitzmann.com/)
10:06:41	214458/214458	---M--	200	added ('OK')	image/jpeg	etag:%2262dfcdf1-345ba%22	https://www.vincentsitzmann.com/imgs/onn_thumbnail.jpg	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/onn_thumbnail.jpg	(from https://www.vincentsitzmann.com/)
10:06:41	8668793/8668793	---M--	200	added ('OK')	image/gif	etag:%2262dfcdf1-844679%22	https://www.vincentsitzmann.com/imgs/SRNs.gif	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/SRNs.gif	(from https://www.vincentsitzmann.com/)
10:06:41	761448/761448	---M--	200	added ('OK')	image/jpeg	etag:%2262dfcdf1-b9e68%22	https://www.vincentsitzmann.com/imgs/end-to-end-cam.jpg	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/end-to-end-cam.jpg	(from https://www.vincentsitzmann.com/)
10:06:41	629377/629377	---M--	200	added ('OK')	image/jpeg	etag:%2262dfcdf1-99a81%22	https://www.vincentsitzmann.com/imgs/saliency.jpg	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/saliency.jpg	(from https://www.vincentsitzmann.com/)
10:06:42	427825/427825	---M--	200	added ('OK')	image/jpeg	etag:%2262dfcdf1-68731%22	https://www.vincentsitzmann.com/imgs/cognitive_events.jpg	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/cognitive_events.jpg	(from https://www.vincentsitzmann.com/)
10:06:42	2482989/2482989	---M--	200	added ('OK')	image/jpeg	etag:%2262dfcdf1-25e32d%22	https://www.vincentsitzmann.com/imgs/sickness_prediction.jpg	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/imgs/sickness_prediction.jpg	(from https://www.vincentsitzmann.com/)
10:06:42	97163/97163	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	C:/My%20Web%20Sites/Personal%20Webpage/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from https://www.vincentsitzmann.com/)
10:06:42	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262dfcdf1-bf30%22	https://www.vincentsitzmann.com/js/bootstrap.min.js	C:/My%20Web%20Sites/Personal%20Webpage/www.vincentsitzmann.com/js/bootstrap.min.js	(from https://www.vincentsitzmann.com/)
